base_id,base_name,location,budget,classification,domain,commander_id
1,ldeener0,Kamárai,2328165,2,middle,20001
2,akaesmakers1,Noailles,5900368,2,big,20002
3,lcomazzo2,Mudon,7159671,1,big,20003
4,ajanas3,Pindorama,7687924,5,middle,20004
5,sfrere4,Handegate,1486842,3,big,20005
6,sfeldmesser5,Shuinanxu,7274729,3,middle,20006
7,jantoney6,Calanogas,4581796,1,big,20007
8,icristofano7,Taunggyi,7395015,5,small,20008
9,ygreenstock8,Gaoshan,3363768,4,big,20009
10,hhalms9,Karangpeton,9700697,2,big,20010
11,dteesdalea,Strzelce,3956262,5,big,20011
12,sbarkeb,Sandefjord,7705729,3,middle,20012
13,tscrinagec,Głubczyce,6405992,3,middle,20013
14,cpughsleyd,Mosar,6001445,3,small,20014
15,rcallame,Ulashan,8294076,2,middle,20015
16,gduignanf,Sanjiang,7374002,3,big,20016
17,phadkinsg,Verkhoshizhem’ye,9349377,4,big,20017
18,jwhifenh,"Villa Presidente Frei, Ñuñoa, Santiago, Chile",6797214,5,small,20018
19,bvockinsi,Sanpai,1569328,4,big,20019
20,cscoynej,Kertamukti,4589096,3,big,20020
21,rbouchk,Jargalant,3878228,3,middle,20021
22,pclayfieldl,Sacramento,1200387,4,small,20022
23,imcgourtym,Nizhniye Vyazovyye,4704363,3,small,20023
24,caldrinn,Barras,7961233,1,big,20024
25,asimeolio,Tambo,626514,3,big,20025
26,dbenedickp,Brak,8602007,4,big,20026
27,abayneq,Golomunta,3596113,5,middle,20027
28,efynnr,'Ali Sabieh,952543,2,middle,20028
29,tscorrers,Huanggangshan,8284321,3,middle,20029
30,fgrimmettt,San Jose,4236484,2,big,20030
31,eberkleyu,Komyshnya,6490915,1,big,20031
32,lcowernv,Karolino-Buhaz,5416682,5,small,20032
33,sboulgerw,Canaman,8933658,5,small,20033
34,kpotex,Monte Agudo,5557428,1,big,20034
35,ghoggettsy,Ullulluco,1073185,5,small,20035
36,ejaegarz,Oebobo,4071915,3,big,20036
37,jgiggs10,Boucinha,5782418,3,middle,20037
38,fbartel11,Yangwei,1881993,3,middle,20038
39,elayzell12,Miaotou,8177055,2,big,20039
40,astandbrook13,Nadezhda,3778906,5,small,20040
41,hleckie14,Vyshhorod,5474651,1,big,20041
42,rlenoir15,Kolambugan,4908151,4,small,20042
43,nhearnshaw16,Ash Shuyūkh,6040258,4,middle,20043
44,wmcilraith17,Santa Ana,6019060,1,big,20044
45,jvedenyapin18,Dubrava,5114721,2,middle,20045
46,cmatieu19,Tsingoni,4765216,2,small,20046
47,kmacgruer1a,城郊,6146829,3,middle,20047
48,apidduck1b,Sanhu,4470223,3,big,20048
