unit_id,activy_area,unit_name,classification,combat_level,demand,search_type,force,number_of_soldiers,commander_id,base_id
71112,Egypt,Blogtag,3,5,10,cognitive test,Air,26400,1001,426
71113,West Bank,Aimbo,4,5,1,knowledge test,Intelligence,8700,1002,119
71114,Depth,Tagtune,3,4,3,knowledge test,Infantry,12400,1003,372
71115,Syria,Skipstorm,4,3,4,knowledge test,Technology and Maintenance,9800,1004,405
71116,Depth,Vitz,4,4,6,cognitive test,Air,24200,1005,339
71117,Gaza,Mydo,1,5,6,technical test,Armored,17800,1006,331
71118,Lebanon,Fivechat,3,3,10,knowledge test,Infantry,27200,1007,486
71119,Depth,Blogspan,3,1,2,technical test,Education,18800,1008,173
71120,Lebanon,Cogibox,2,5,2,interview,Air,16700,1009,42
71121,Gaza,Zoonoodle,5,3,4,knowledge test,Artillery,23100,1010,434
71122,Syria,Aivee,4,5,10,cognitive test,Artillery,27100,1011,31
71123,Jordan,Buzzster,4,4,10,combat fitness,Artillery,2500,1012,119
71124,Syria,Voonyx,1,2,7,interview,Armored,4000,1013,217
71125,Iran,Yozio,1,4,1,technical test,Navy,24200,1014,129
71126,Gaza,Youtags,5,4,6,technical test,Education,15500,1015,426
71127,Lebanon,Devcast,2,4,6,cognitive test,Military Police,16300,1016,95
71128,Depth,Buzzdog,2,2,3,combat fitness,Medical,18100,1017,256
71129,Iran,Kazu,4,1,9,interview,Air,28400,1018,262
71130,Lebanon,Dabfeed,4,3,8,cognitive test,Logistics,10900,1019,484
71131,Gaza,Kamba,4,4,10,combat fitness,Military Police,24300,1020,404
71132,West Bank,Tazz,5,5,6,interview,Air,21800,1021,116
71133,Depth,Riffpedia,3,3,3,knowledge test,Armored,10900,1022,393
71134,Syria,Tanoodle,5,3,4,combat fitness,Medical,20300,1023,276
71135,Depth,Dynava,4,5,7,interview,Technology and Maintenance,4700,1024,46
71136,Jordan,Yadel,1,3,5,technical test,Medical,11400,1025,40
71137,Jordan,Skyble,4,5,1,interview,Intelligence,19000,1026,31
71138,Depth,Mybuzz,5,1,8,combat fitness,Armored,3400,1027,40
71139,Depth,Tanoodle,2,5,5,technical test,Air,4200,1028,262
71140,Gaza,Realcube,3,2,1,interview,Infantry,1600,1029,183
71141,Gaza,Devpulse,2,5,1,cognitive test,Intelligence,11100,1030,57
71142,Egypt,DabZ,3,2,6,cognitive test,Logistics,8300,1031,498
71143,Depth,Mydeo,4,5,6,interview,Logistics,5900,1032,300
71144,Jordan,Twitterlist,4,1,3,knowledge test,Artillery,20200,1033,102
71145,Iran,Yata,3,2,7,knowledge test,Intelligence,1900,1034,68
71146,Iran,Dabfeed,1,3,8,technical test,Technology and Maintenance,1300,1035,288
71147,Gaza,Skyble,3,2,1,combat fitness,Medical,2900,1036,450
71148,Depth,Wikibox,1,3,5,technical test,Military Police,25600,1037,213
71149,Syria,Dabvine,4,4,9,knowledge test,Medical,19700,1038,206
71150,West Bank,Flipstorm,4,3,2,cognitive test,Logistics,10100,1039,419
71151,Jordan,Dabshots,2,5,9,cognitive test,C4I,10200,1040,202
71152,Iran,Realcube,3,2,4,combat fitness,Education,21300,1041,442
71153,Jordan,Eire,1,1,4,technical test,Infantry,1600,1042,351
71154,West Bank,Flipstorm,1,3,4,combat fitness,Education,20000,1043,243
71155,Gaza,Babbleset,1,1,8,interview,Infantry,9000,1044,245
71156,Egypt,Jabbertype,2,4,10,cognitive test,Education,19100,1045,222
71157,Iran,Linktype,2,4,2,combat fitness,Infantry,15600,1046,68
71158,Gaza,Livepath,4,2,4,knowledge test,C4I,16000,1047,470
71159,West Bank,Kwilith,1,2,10,knowledge test,Intelligence,25400,1048,209
