unit_id,activy_area,unit_name,classification,combat_level,demand,search_type,force,number_of_soldiers,commander_id,base_id
45676,Iran,Vitz,2,4,9,combat fitness,Infantry,3600,1,26
45677,Lebanon,Kare,4,5,6,interview,Medical,14800,2,123
45678,Egypt,Demimbu,5,4,8,cognitive test,Education,9900,3,278
45679,West Bank,BlogXS,5,1,7,cognitive test,Artillery,21000,4,303
45680,West Bank,Eimbee,5,2,7,technical test,Medical,23000,5,183
45681,West Bank,Cogibox,2,3,8,cognitive test,Logistics,10700,6,258
45682,West Bank,Wikido,1,5,8,cognitive test,Military Police,28800,7,129
45683,Egypt,Lazz,4,3,7,knowledge test,Intelligence,15500,8,223
45684,Syria,Eamia,1,4,9,technical test,Infantry,3100,9,435
45685,Iran,Lajo,3,2,1,technical test,Navy,29500,10,271
45686,West Bank,Einti,4,5,3,technical test,Education,14500,11,268
45687,West Bank,Yacero,4,2,4,combat fitness,Armored,15900,12,246
45688,Gaza,Talane,4,5,9,technical test,C4I,5900,13,339
45689,Iran,Jabberbean,2,5,2,combat fitness,Armored,20500,14,407
45690,Iran,Blogtag,1,5,9,interview,Intelligence,12500,15,437
45691,Egypt,Kanoodle,1,3,3,combat fitness,Artillery,29800,16,179
45692,Gaza,Youspan,2,2,1,cognitive test,Navy,18900,17,87
45693,Lebanon,Vitz,2,5,7,cognitive test,C4I,25600,18,117
45694,Jordan,Thoughtbeat,3,5,10,knowledge test,Education,24000,19,82
45695,Iran,Skipstorm,3,5,10,knowledge test,Air,24100,20,336
45696,Depth,Edgewire,4,1,1,knowledge test,Armored,10500,21,280
45697,Lebanon,Tavu,4,4,1,knowledge test,Artillery,19000,22,209
45698,West Bank,Photofeed,4,1,4,interview,Air,5600,23,148
45699,Iran,Twitterbridge,4,2,3,combat fitness,Armored,21500,24,201
45700,Depth,Yotz,4,1,3,cognitive test,Medical,15600,25,52
45701,Lebanon,Jabbersphere,2,2,4,interview,Artillery,8900,26,201
45702,Lebanon,Kimia,1,1,6,technical test,Air,26700,27,306
45703,Gaza,Blogspan,2,4,2,interview,Technology and Maintenance,11100,28,413
45704,Gaza,Edgewire,1,5,8,knowledge test,Artillery,2900,29,331
45705,Syria,Zoomdog,1,2,4,knowledge test,Logistics,16500,30,197
45706,Egypt,Centizu,3,4,7,technical test,Medical,8600,31,184
45707,Jordan,Avavee,4,5,5,technical test,Education,23700,32,92
45708,Iran,Devcast,5,1,9,interview,Medical,8100,33,195
45709,Jordan,Minyx,5,3,7,knowledge test,Military Police,10800,34,115
45710,Jordan,Jabbercube,4,5,6,interview,Intelligence,900,35,244
45711,Egypt,Trudoo,3,3,4,technical test,Education,29800,36,471
45712,Depth,Vinder,1,1,9,cognitive test,Education,13400,37,180
45713,Egypt,Vinte,2,3,10,combat fitness,Artillery,9800,38,267
45714,Iran,Innotype,4,4,4,interview,Armored,10500,39,311
45715,Lebanon,Gigabox,2,3,9,technical test,Logistics,26500,40,301
45716,Egypt,Photojam,3,1,2,combat fitness,Medical,10700,41,491
45717,Syria,Mycat,1,3,4,knowledge test,Technology and Maintenance,23600,42,261
45718,West Bank,Cogibox,5,1,5,interview,Intelligence,24300,43,198
45719,Lebanon,Eimbee,3,4,5,combat fitness,Education,27200,44,76
45720,West Bank,Blognation,1,5,10,knowledge test,Logistics,10100,45,55
45721,Depth,Meeveo,2,1,6,combat fitness,Intelligence,25200,46,325
45722,Egypt,Gevee,2,2,10,combat fitness,C4I,27500,47,117
45723,West Bank,Twimbo,2,2,7,knowledge test,Navy,25300,48,411
45724,West Bank,Centizu,4,2,1,cognitive test,Air,27600,49,290
45725,West Bank,Browsebug,2,5,9,combat fitness,Logistics,27100,50,291
45726,Depth,Oyoyo,5,2,2,interview,Medical,6400,51,248
45727,Depth,Skivee,1,2,7,technical test,Logistics,20600,52,284
45728,West Bank,Blognation,1,3,7,knowledge test,Military Police,300,53,257
